# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles:u'
# Event count (approx.): 2989206917
#
# Overhead  Command    Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
# ........  .........  ....................  ...........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     5.71%  proto_run  [unknown]             [k] 0xffffffffaba01320
     3.81%  proto_run  proto_run             [.] utf8_range_SkipAscii
     3.58%  proto_run  proto_run             [.] fleetbench::proto::Message9_M5_M11_M23_M34_M36_M40_M51_M58_M59_M63_M65_M67_M69_M70_M71_M72_M73::_InternalSerialize(unsigned char*, google::protobuf::io::EpsCopyOutputStream*) const
     3.50%  proto_run  proto_run             [.] google::protobuf::internal::WireFormatLite::InternalWriteMessage(int, google::protobuf::MessageLite const&, int, unsigned char*, google::protobuf::io::EpsCopyOutputStream*)
     2.87%  proto_run  libc.so.6             [.] 0x00000000001a6c15
     2.39%  proto_run  libc.so.6             [.] 0x00000000000a1846
     1.98%  proto_run  libc.so.6             [.] 0x00000000001a717a
     1.79%  proto_run  libc.so.6             [.] malloc
     1.55%  proto_run  libc.so.6             [.] 0x00000000000a18a2
     1.49%  proto_run  proto_run             [.] google::protobuf::io::CodedOutputStream::WriteVarint32ToArray(unsigned int, unsigned char*)
     1.32%  proto_run  proto_run             [.] fleetbench::proto::Message9_M5_M11_M23_M34_M36_M40_M51_M58_M59_M63_M65_M67_M69_M70_M71_M72_M73::ByteSizeLong() const
     1.18%  proto_run  proto_run             [.] fleetbench::proto::Message8_M1_M4_M15_M23_M40_M48_M73_M75_M81_M83_M88_M90_M91_M92_M93::_InternalSerialize(unsigned char*, google::protobuf::io::EpsCopyOutputStream*) const
     1.05%  proto_run  libc.so.6             [.] 0x00000000000a1749
     1.02%  proto_run  proto_run             [.] google::protobuf::RepeatedField<long>::Get(int) const
     0.98%  proto_run  libc.so.6             [.] cfree
     0.87%  proto_run  proto_run             [.] google::protobuf::internal::ValidateEnum(int, unsigned int const*)
     0.86%  proto_run  libc.so.6             [.] 0x00000000000a174f
     0.83%  proto_run  libc.so.6             [.] 0x00000000000a18d6
     0.82%  proto_run  libstdc++.so.6.0.30   [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::~basic_string()
     0.79%  proto_run  proto_run             [.] utf8_range_IsValid
     0.76%  proto_run  proto_run             [.] google::protobuf::internal::WireFormatLite::VerifyUtf8String(char const*, int, google::protobuf::internal::WireFormatLite::Operation, char const*)
     0.74%  proto_run  proto_run             [.] google::protobuf::Message::MaybeComputeUnknownFieldsSize(unsigned long, google::protobuf::internal::CachedSize*) const
     0.74%  proto_run  proto_run             [.] google::protobuf::io::EpsCopyOutputStream::EnsureSpace(unsigned char*)
     0.73%  proto_run  libstdc++.so.6.0.30   [.] operator new(unsigned long)
     0.69%  proto_run  proto_run             [.] google::protobuf::internal::ArenaStringPtr::Set(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, google::protobuf::Arena*)
     0.68%  proto_run  libc.so.6             [.] 0x00000000000a18f2
     0.63%  proto_run  proto_run             [.] fleetbench::proto::Message8_M1_M4_M15_M23_M40_M48_M73_M75_M81_M83_M88_M90_M91_M92_M93::ByteSizeLong() const
     0.57%  proto_run  proto_run             [.] google::protobuf::io::EpsCopyOutputStream::WriteStringMaybeAliased(unsigned int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned char*)
     0.56%  proto_run  proto_run             [.] void* google::protobuf::internal::RepeatedPtrFieldBase::AddInternal<void* (*)(google::protobuf::Arena*)>(void* (*)(google::protobuf::Arena*))
     0.56%  proto_run  proto_run             [.] google::protobuf::internal::InternalMetadata::have_unknown_fields() const
     0.54%  proto_run  proto_run             [.] google::protobuf::internal::WireFormatLite::Int32Size(google::protobuf::RepeatedField<int> const&)
     0.52%  proto_run  proto_run             [.] fleetbench::proto::Message9_M5_M11_M23_M34_M37::_InternalSerialize(unsigned char*, google::protobuf::io::EpsCopyOutputStream*) const
     0.52%  proto_run  libstdc++.so.6.0.30   [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::substr(unsigned long, unsigned long) const
     0.52%  proto_run  proto_run             [.] fleetbench::proto::Message7_M2_M19_M29_M38_M60_M62_M69_M78_M85_M89_M95_M96_M97_M98_M99_M100_M101_M102::_InternalSerialize(unsigned char*, google::protobuf::io::EpsCopyOutputStream*) const
     0.52%  proto_run  proto_run             [.] google::protobuf::internal::TaggedStringPtr::as_int() const
