width,depth,#varint,#string,proto_serialization,proto_deserialization,ser1de_serialization,ser1de_deserialization,gather_out(bytes),compress_out(bytes)
3,3,8,2,3320.0,19114.2,21045.46,13738.08,728,
3,3,12,3,4384.8,26525.68,17339.66,12894.95,1066,
3,4,8,2,10136.68,60289.05,23842.56,19963.05,2240,
3,4,12,3,15269.87,85767.54,23915.66,24803.41,3280,
3,5,8,2,32244.89,185098.26,33796.1,46590.17,6776,
3,5,12,3,45029.23,267619.16,41924.4,59561.22,9922,
4,3,8,2,5053.98,30539.1,22977.3,16389.71,1176,
4,3,12,3,7377.86,43862.3,25107.35,18948.5,1722,
4,4,8,2,22209.74,131024.08,28439.3,33414.52,4760,
4,4,12,3,32442.94,185427.43,33948.59,43809.79,6970,
4,5,8,2,121550.54,533900.38,67996.48,118231.99,19096,
4,5,12,3,200550.99,770853.62,92067.05,163771.32,27962,
5,3,8,2,7724.17,45781.51,22578.67,17100.99,1736,
5,3,12,3,11366.39,65597.94,21711.4,20682.54,2542,
5,4,8,2,39325.42,241469.86,39935.38,55202.68,8736,
5,4,12,3,61913.81,339081.74,50228.6,75399.59,12792,
5,5,8,2,436325.54,1271621.7,137094.37,337987.21,43736,
5,5,12,3,675282.06,1805485.34,193007.11,469466.59,64042,
6,3,8,2,11099.96,65631.63,21942.3,21396.17,2408,
6,3,12,3,16123.15,91992.53,24712.34,25866.2,3526,
6,4,8,2,77152.14,407397.39,56383.51,90562.6,14504,
6,4,12,3,133827.43,583165.39,73187.68,121722.84,21238,
6,5,8,2,1008381.26,2662089.68,271282.6,754769.74,87080,
6,5,12,3,1444137.45,3710026.28,398200.07,1033968.99,127510,
