width,depth,#varint,#string,proto_serialization,proto_deserialization,ser1de_serialization,ser1de_deserialization,gather_out(bytes),compress_out(bytes)
1,2,8,2,510.02,2641.95,4914.39,3071.34,112,
1,2,12,3,728.56,3790.17,3418.89,2212.84,164,
1,3,8,2,767.83,4184.93,3721.95,2511.73,168,
1,3,12,3,1108.57,5959.44,3780.43,2612.22,246,
1,4,8,2,972.89,5556.55,3730.39,2554.22,224,
1,4,12,3,1436.32,7954.59,4335.17,3209.12,328,
1,5,8,2,1249.72,6873.74,3880.05,2813.99,280,
1,5,12,3,1709.2,9695.64,4633.24,3610.77,410,
2,2,8,2,729.71,4031.61,3475.97,2303.63,168,
2,2,12,3,1000.33,5810.8,3927.9,2837.0,246,
2,3,8,2,1701.41,9792.67,4627.83,3648.05,392,
2,3,12,3,2462.69,13809.27,4818.3,4345.0,574,
2,4,8,2,3607.33,22019.31,7152.5,7154.84,840,
2,4,12,3,5147.08,30919.99,8446.09,9200.92,1230,
2,5,8,2,7344.97,45707.1,8540.48,11331.75,1736,
2,5,12,3,11350.22,66703.21,11400.98,15020.66,2542,
3,2,8,2,1021.75,5440.19,3735.17,2541.8,224,
3,2,12,3,1361.27,7798.41,4211.32,3138.02,328,
3,3,8,2,3197.33,18619.98,6959.85,6539.24,728,
3,3,12,3,4564.64,26945.94,8018.47,8237.5,1066,
3,4,8,2,9694.74,60832.1,10283.36,13980.6,2240,
3,4,12,3,14197.92,85679.92,13638.75,18795.28,3280,
3,5,8,2,31195.53,187800.96,24569.51,39745.17,6776,
3,5,12,3,44678.3,291006.99,32956.37,53989.02,9922,
4,2,8,2,1257.36,6932.05,3870.46,2771.93,280,
4,2,12,3,1720.73,9706.23,4594.25,3585.77,410,
4,3,8,2,5084.08,30610.29,8517.83,9486.13,1176,
4,3,12,3,7381.86,44558.86,10391.37,12022.62,1722,
4,4,8,2,21880.49,130294.5,18910.77,28446.25,4760,
4,4,12,3,32352.06,190180.36,24513.56,37704.26,6970,
4,5,8,2,120674.55,534563.31,59815.27,114206.98,19096,
4,5,12,3,200068.37,764560.79,82046.84,157021.04,27962,
5,2,8,2,1411.39,8212.54,4087.01,3074.54,336,
5,2,12,3,2075.28,11848.77,4768.89,4072.86,492,
5,3,8,2,7754.61,45556.83,10800.79,12705.64,1736,
5,3,12,3,10938.17,65648.69,11224.17,15096.46,2542,
5,4,8,2,39743.79,239254.14,30823.74,50064.75,8736,
5,4,12,3,60443.17,344836.01,41211.79,69909.7,12792,
5,5,8,2,435334.34,1259503.35,129043.25,328138.96,43736,
5,5,12,3,669655.61,1795008.83,184392.96,466064.99,64042,
6,2,8,2,1719.49,9709.45,4285.82,3382.02,392,
6,2,12,3,2350.9,13914.82,4717.45,4350.45,574,
6,3,8,2,10675.68,64084.93,10777.64,14705.72,2408,
6,3,12,3,15708.51,92216.58,14404.95,20304.68,3526,
6,4,8,2,77584.1,408998.83,46673.93,83056.74,14504,
6,4,12,3,132364.28,576441.7,64300.19,114312.56,21238,
6,5,8,2,1009651.69,2666102.9,261734.49,761563.43,87080,
6,5,12,3,1451075.53,3782493.82,389359.65,1023444.82,127510,
