width,depth,#varint,#string,proto_serialization,proto_deserialization,ser1de_serialization,ser1de_deserialization,gather_out(bytes),compress_out(bytes)
3,3,8,2,3401.41,19014.14,7031.51,6780.18,728,
3,3,12,3,4458.77,26736.9,8058.03,8167.65,1066,
3,4,8,2,9973.89,59877.87,12545.92,14207.09,2240,
3,4,12,3,14792.95,86557.85,13732.2,18821.2,3280,
3,5,8,2,30252.49,186484.47,24941.86,39253.02,6776,
3,5,12,3,46127.52,268895.35,33043.15,54758.82,9922,
4,3,8,2,5030.88,31606.58,8753.48,9384.8,1176,
4,3,12,3,7335.61,44444.45,10533.93,12254.64,1722,
4,4,8,2,21970.03,129616.29,19213.42,28131.38,4760,
4,4,12,3,30691.75,185023.3,25007.72,38888.76,6970,
4,5,8,2,121614.32,539747.89,59937.26,112863.87,19096,
4,5,12,3,199594.45,766601.42,82261.85,157388.65,27962,
5,3,8,2,7896.89,45961.44,8600.11,11292.96,1736,
5,3,12,3,11327.28,65958.72,11760.39,14805.59,2542,
5,4,8,2,39570.05,239278.28,31303.51,50758.63,8736,
5,4,12,3,60273.36,343387.93,41273.38,67991.42,12792,
5,5,8,2,430162.62,1274088.91,129238.53,322870.17,43736,
5,5,12,3,671134.33,1811102.84,182598.91,444864.6,64042,
6,3,8,2,11000.95,65178.77,11907.97,15147.03,2408,
6,3,12,3,15450.31,94146.98,14583.45,20190.98,3526,
6,4,8,2,76146.26,418773.93,47578.84,83807.01,14504,
6,4,12,3,132553.54,573961.65,64105.09,116174.93,21238,
6,5,8,2,1003986.17,2658467.77,270559.5,744470.23,87080,
6,5,12,3,1446409.9,3690275.63,382237.68,1022213.85,127510,
